"","id","noi","category","category_1to5","category_5to10","category_10to15","category_15to20","category_20+","category_NA"
"1899",1899,"NA","NA",0,0,0,0,0,1
"1900",1900,"5","1to5",1,0,0,0,0,0
"1901",1901,"NA","NA",0,0,0,0,0,1
"1902",1902,"6","5to10",0,1,0,0,0,0
"1903",1903,"NA","NA",0,0,0,0,0,1
"1904",1904,"NA","NA",0,0,0,0,0,1
"1905",1905,"3","1to5",1,0,0,0,0,0
"1906",1906,"1","1to5",1,0,0,0,0,0
"1907",1907,"2","1to5",1,0,0,0,0,0
"1908",1908,"3","1to5",1,0,0,0,0,0
"1909",1909,"1","1to5",1,0,0,0,0,0
"1910",1910,"NA","NA",0,0,0,0,0,1
"1911",1911,"1","1to5",1,0,0,0,0,0
"1912",1912,"6","5to10",0,1,0,0,0,0
"1913",1913,"NA","NA",0,0,0,0,0,1
"1914",1914,"1","1to5",1,0,0,0,0,0
"1915",1915,"1","1to5",1,0,0,0,0,0
"1916",1916,"5","1to5",1,0,0,0,0,0
"1917",1917,"1","1to5",1,0,0,0,0,0
"1918",1918,"NA","NA",0,0,0,0,0,1
"1919",1919,"1","1to5",1,0,0,0,0,0
"1920",1920,"1","1to5",1,0,0,0,0,0
"1921",1921,"NA","NA",0,0,0,0,0,1
"1922",1922,"NA","NA",0,0,0,0,0,1
"1923",1923,"NA","NA",0,0,0,0,0,1
"1924",1924,"1","1to5",1,0,0,0,0,0
"1925",1925,"NA","NA",0,0,0,0,0,1
"1926",1926,"1","1to5",1,0,0,0,0,0
"1927",1927,"2","1to5",1,0,0,0,0,0
"1928",1928,"1","1to5",1,0,0,0,0,0
"1929",1929,"NA","NA",0,0,0,0,0,1
"1930",1930,"NA","NA",0,0,0,0,0,1
"1931",1931,"NA","NA",0,0,0,0,0,1
"1932",1932,"9","5to10",0,1,0,0,0,0
"1933",1933,"6","5to10",0,1,0,0,0,0
"1934",1934,"NA","NA",0,0,0,0,0,1
"1935",1935,"2","1to5",1,0,0,0,0,0
"1936",1936,"NA","NA",0,0,0,0,0,1
"1937",1937,"6","5to10",0,1,0,0,0,0
"1938",1938,"1","1to5",1,0,0,0,0,0
"1939",1939,"2","1to5",1,0,0,0,0,0
"1940",1940,"NA","NA",0,0,0,0,0,1
"1941",1941,"1","1to5",1,0,0,0,0,0
"1942",1942,"NA","NA",0,0,0,0,0,1
"1943",1943,"NA","NA",0,0,0,0,0,1
"1944",1944,"NA","NA",0,0,0,0,0,1
"1945",1945,"NA","NA",0,0,0,0,0,1
"1946",1946,"4","1to5",1,0,0,0,0,0
"1947",1947,"NA","NA",0,0,0,0,0,1
"1948",1948,"4","1to5",1,0,0,0,0,0
"1949",1949,"6","5to10",0,1,0,0,0,0
"1950",1950,"NA","NA",0,0,0,0,0,1
"1951",1951,"NA","NA",0,0,0,0,0,1
"1952",1952,"1","1to5",1,0,0,0,0,0
"1953",1953,"NA","NA",0,0,0,0,0,1
"1954",1954,"NA","NA",0,0,0,0,0,1
"1955",1955,"17","15to20",0,0,0,1,0,0
"1956",1956,"4","1to5",1,0,0,0,0,0
"1957",1957,"NA","NA",0,0,0,0,0,1
"1958",1958,"NA","NA",0,0,0,0,0,1
"1959",1959,"1","1to5",1,0,0,0,0,0
"1960",1960,"1","1to5",1,0,0,0,0,0
"1961",1961,"NA","NA",0,0,0,0,0,1
"1962",1962,"NA","NA",0,0,0,0,0,1
"1963",1963,"NA","NA",0,0,0,0,0,1
"1964",1964,"1","1to5",1,0,0,0,0,0
"1965",1965,"2","1to5",1,0,0,0,0,0
"1966",1966,"2","1to5",1,0,0,0,0,0
"1967",1967,"NA","NA",0,0,0,0,0,1
"1968",1968,"1","1to5",1,0,0,0,0,0
"1969",1969,"NA","NA",0,0,0,0,0,1
"1970",1970,"NA","NA",0,0,0,0,0,1
"1971",1971,"NA","NA",0,0,0,0,0,1
"1972",1972,"4","1to5",1,0,0,0,0,0
"1973",1973,"NA","NA",0,0,0,0,0,1
"1974",1974,"1","1to5",1,0,0,0,0,0
"1975",1975,"NA","NA",0,0,0,0,0,1
"1976",1976,"NA","NA",0,0,0,0,0,1
"1977",1977,"2","1to5",1,0,0,0,0,0
"1978",1978,"NA","NA",0,0,0,0,0,1
"1979",1979,"NA","NA",0,0,0,0,0,1
"1980",1980,"2","1to5",1,0,0,0,0,0
"1981",1981,"NA","NA",0,0,0,0,0,1
"1982",1982,"NA","NA",0,0,0,0,0,1
"1983",1983,"NA","NA",0,0,0,0,0,1
"1984",1984,"NA","NA",0,0,0,0,0,1
"1985",1985,"1","1to5",1,0,0,0,0,0
"1986",1986,"NA","NA",0,0,0,0,0,1
"1987",1987,"NA","NA",0,0,0,0,0,1
"1988",1988,"2","1to5",1,0,0,0,0,0
"1989",1989,"NA","NA",0,0,0,0,0,1
"1990",1990,"7","5to10",0,1,0,0,0,0
"1991",1991,"1","1to5",1,0,0,0,0,0
"1992",1992,"NA","NA",0,0,0,0,0,1
"1993",1993,"NA","NA",0,0,0,0,0,1
"1994",1994,"9","5to10",0,1,0,0,0,0
"1995",1995,"NA","NA",0,0,0,0,0,1
"1996",1996,"NA","NA",0,0,0,0,0,1
"1997",1997,"NA","NA",0,0,0,0,0,1
"1998",1998,"NA","NA",0,0,0,0,0,1
"1999",1999,"2","1to5",1,0,0,0,0,0
"2000",2000,"NA","NA",0,0,0,0,0,1
