"","id","nof","nof_1","nof_2","nof_3","nof_4","nof_5","nof_6","nof_7","nof_8","nof_9","nof_NA"
"1472",1472,"1",1,0,0,0,0,0,0,0,0,0
"1473",1473,"NA",0,0,0,0,0,0,0,0,0,1
"1474",1474,"1",1,0,0,0,0,0,0,0,0,0
"1475",1475,"4",0,0,0,1,0,0,0,0,0,0
"1476",1476,"NA",0,0,0,0,0,0,0,0,0,1
"1477",1477,"3",0,0,1,0,0,0,0,0,0,0
"1478",1478,"NA",0,0,0,0,0,0,0,0,0,1
"1479",1479,"1",1,0,0,0,0,0,0,0,0,0
"1480",1480,"1",1,0,0,0,0,0,0,0,0,0
"1481",1481,"2",0,1,0,0,0,0,0,0,0,0
"1482",1482,"NA",0,0,0,0,0,0,0,0,0,1
"1483",1483,"9",0,0,0,0,0,0,0,0,1,0
"1484",1484,"NA",0,0,0,0,0,0,0,0,0,1
"1485",1485,"NA",0,0,0,0,0,0,0,0,0,1
"1486",1486,"1",1,0,0,0,0,0,0,0,0,0
"1487",1487,"1",1,0,0,0,0,0,0,0,0,0
"1488",1488,"2",0,1,0,0,0,0,0,0,0,0
"1489",1489,"1",1,0,0,0,0,0,0,0,0,0
"1490",1490,"1",1,0,0,0,0,0,0,0,0,0
"1491",1491,"3",0,0,1,0,0,0,0,0,0,0
"1492",1492,"3",0,0,1,0,0,0,0,0,0,0
"1493",1493,"1",1,0,0,0,0,0,0,0,0,0
"1494",1494,"2",0,1,0,0,0,0,0,0,0,0
"1495",1495,"1",1,0,0,0,0,0,0,0,0,0
"1496",1496,"1",1,0,0,0,0,0,0,0,0,0
"1497",1497,"2",0,1,0,0,0,0,0,0,0,0
"1498",1498,"NA",0,0,0,0,0,0,0,0,0,1
"1499",1499,"2",0,1,0,0,0,0,0,0,0,0
"1500",1500,"2",0,1,0,0,0,0,0,0,0,0
"1501",1501,"3",0,0,1,0,0,0,0,0,0,0
"1502",1502,"1",1,0,0,0,0,0,0,0,0,0
"1503",1503,"2",0,1,0,0,0,0,0,0,0,0
"1504",1504,"1",1,0,0,0,0,0,0,0,0,0
"1505",1505,"1",1,0,0,0,0,0,0,0,0,0
"1506",1506,"1",1,0,0,0,0,0,0,0,0,0
"1507",1507,"1",1,0,0,0,0,0,0,0,0,0
"1508",1508,"1",1,0,0,0,0,0,0,0,0,0
"1509",1509,"2",0,1,0,0,0,0,0,0,0,0
"1510",1510,"1",1,0,0,0,0,0,0,0,0,0
"1511",1511,"2",0,1,0,0,0,0,0,0,0,0
"1512",1512,"2",0,1,0,0,0,0,0,0,0,0
"1513",1513,"1",1,0,0,0,0,0,0,0,0,0
"1514",1514,"1",1,0,0,0,0,0,0,0,0,0
"1515",1515,"6",0,0,0,0,0,1,0,0,0,0
"1516",1516,"NA",0,0,0,0,0,0,0,0,0,1
"1517",1517,"NA",0,0,0,0,0,0,0,0,0,1
"1518",1518,"2",0,1,0,0,0,0,0,0,0,0
"1519",1519,"1",1,0,0,0,0,0,0,0,0,0
"1520",1520,"2",0,1,0,0,0,0,0,0,0,0
"1521",1521,"1",1,0,0,0,0,0,0,0,0,0
"1522",1522,"1",1,0,0,0,0,0,0,0,0,0
"1523",1523,"1",1,0,0,0,0,0,0,0,0,0
"1524",1524,"2",0,1,0,0,0,0,0,0,0,0
"1525",1525,"3",0,0,1,0,0,0,0,0,0,0
"1526",1526,"1",1,0,0,0,0,0,0,0,0,0
"1527",1527,"NA",0,0,0,0,0,0,0,0,0,1
"1528",1528,"1",1,0,0,0,0,0,0,0,0,0
"1529",1529,"NA",0,0,0,0,0,0,0,0,0,1
"1530",1530,"1",1,0,0,0,0,0,0,0,0,0
"1531",1531,"NA",0,0,0,0,0,0,0,0,0,1
"1532",1532,"1",1,0,0,0,0,0,0,0,0,0
"1533",1533,"6",0,0,0,0,0,1,0,0,0,0
"1534",1534,"3",0,0,1,0,0,0,0,0,0,0
"1535",1535,"NA",0,0,0,0,0,0,0,0,0,1
"1536",1536,"NA",0,0,0,0,0,0,0,0,0,1
"1537",1537,"2",0,1,0,0,0,0,0,0,0,0
"1538",1538,"1",1,0,0,0,0,0,0,0,0,0
"1539",1539,"2",0,1,0,0,0,0,0,0,0,0
"1540",1540,"2",0,1,0,0,0,0,0,0,0,0
"1541",1541,"1",1,0,0,0,0,0,0,0,0,0
"1542",1542,"2",0,1,0,0,0,0,0,0,0,0
"1543",1543,"1",1,0,0,0,0,0,0,0,0,0
"1544",1544,"NA",0,0,0,0,0,0,0,0,0,1
"1545",1545,"1",1,0,0,0,0,0,0,0,0,0
"1546",1546,"1",1,0,0,0,0,0,0,0,0,0
"1547",1547,"1",1,0,0,0,0,0,0,0,0,0
"1548",1548,"2",0,1,0,0,0,0,0,0,0,0
"1549",1549,"2",0,1,0,0,0,0,0,0,0,0
"1550",1550,"1",1,0,0,0,0,0,0,0,0,0
"1551",1551,"3",0,0,1,0,0,0,0,0,0,0
"1552",1552,"NA",0,0,0,0,0,0,0,0,0,1
"1553",1553,"2",0,1,0,0,0,0,0,0,0,0
"1554",1554,"2",0,1,0,0,0,0,0,0,0,0
"1555",1555,"3",0,0,1,0,0,0,0,0,0,0
"1556",1556,"1",1,0,0,0,0,0,0,0,0,0
"1557",1557,"1",1,0,0,0,0,0,0,0,0,0
"1558",1558,"1",1,0,0,0,0,0,0,0,0,0
"1559",1559,"3",0,0,1,0,0,0,0,0,0,0
"1560",1560,"3",0,0,1,0,0,0,0,0,0,0
"1561",1561,"2",0,1,0,0,0,0,0,0,0,0
"1562",1562,"1",1,0,0,0,0,0,0,0,0,0
"1563",1563,"2",0,1,0,0,0,0,0,0,0,0
"1564",1564,"NA",0,0,0,0,0,0,0,0,0,1
"1565",1565,"1",1,0,0,0,0,0,0,0,0,0
"1566",1566,"NA",0,0,0,0,0,0,0,0,0,1
"1567",1567,"2",0,1,0,0,0,0,0,0,0,0
"1568",1568,"3",0,0,1,0,0,0,0,0,0,0
"1569",1569,"NA",0,0,0,0,0,0,0,0,0,1
"1570",1570,"NA",0,0,0,0,0,0,0,0,0,1
"1571",1571,"2",0,1,0,0,0,0,0,0,0,0
"1572",1572,"1",1,0,0,0,0,0,0,0,0,0
"1573",1573,"2",0,1,0,0,0,0,0,0,0,0
"1574",1574,"5",0,0,0,0,1,0,0,0,0,0
"1575",1575,"1",1,0,0,0,0,0,0,0,0,0
"1576",1576,"1",1,0,0,0,0,0,0,0,0,0
"1577",1577,"2",0,1,0,0,0,0,0,0,0,0
"1578",1578,"NA",0,0,0,0,0,0,0,0,0,1
"1579",1579,"2",0,1,0,0,0,0,0,0,0,0
"1580",1580,"NA",0,0,0,0,0,0,0,0,0,1
"1581",1581,"NA",0,0,0,0,0,0,0,0,0,1
"1582",1582,"NA",0,0,0,0,0,0,0,0,0,1
"1583",1583,"1",1,0,0,0,0,0,0,0,0,0
"1584",1584,"1",1,0,0,0,0,0,0,0,0,0
"1585",1585,"3",0,0,1,0,0,0,0,0,0,0
"1586",1586,"2",0,1,0,0,0,0,0,0,0,0
"1587",1587,"3",0,0,1,0,0,0,0,0,0,0
"1588",1588,"1",1,0,0,0,0,0,0,0,0,0
"1589",1589,"2",0,1,0,0,0,0,0,0,0,0
"1590",1590,"NA",0,0,0,0,0,0,0,0,0,1
"1591",1591,"2",0,1,0,0,0,0,0,0,0,0
"1592",1592,"2",0,1,0,0,0,0,0,0,0,0
"1593",1593,"1",1,0,0,0,0,0,0,0,0,0
