"","id","Lead_Investors","Lead_Investors_1","Lead_Investors_2","Lead_Investors_3","Lead_Investors_4","Lead_Investors_5","Lead_Investors_6","Lead_Investors_7","Lead_Investors_8","Lead_Investors_9","Lead_Investors_NA"
"80",80,"NA",0,0,0,0,0,0,0,0,0,1
"81",81,"5",0,0,0,0,1,0,0,0,0,0
"82",82,"1",1,0,0,0,0,0,0,0,0,0
"83",83,"NA",0,0,0,0,0,0,0,0,0,1
"84",84,"1",1,0,0,0,0,0,0,0,0,0
"85",85,"2",0,1,0,0,0,0,0,0,0,0
"86",86,"1",1,0,0,0,0,0,0,0,0,0
"87",87,"2",0,1,0,0,0,0,0,0,0,0
"88",88,"1",1,0,0,0,0,0,0,0,0,0
"89",89,"3",0,0,1,0,0,0,0,0,0,0
"90",90,"3",0,0,1,0,0,0,0,0,0,0
"91",91,"5",0,0,0,0,1,0,0,0,0,0
"92",92,"1",1,0,0,0,0,0,0,0,0,0
"93",93,"2",0,1,0,0,0,0,0,0,0,0
"94",94,"3",0,0,1,0,0,0,0,0,0,0
"95",95,"2",0,1,0,0,0,0,0,0,0,0
"96",96,"4",0,0,0,1,0,0,0,0,0,0
"97",97,"2",0,1,0,0,0,0,0,0,0,0
"98",98,"4",0,0,0,1,0,0,0,0,0,0
"99",99,"2",0,1,0,0,0,0,0,0,0,0
"100",100,"3",0,0,1,0,0,0,0,0,0,0
"101",101,"3",0,0,1,0,0,0,0,0,0,0
"102",102,"4",0,0,0,1,0,0,0,0,0,0
"103",103,"2",0,1,0,0,0,0,0,0,0,0
"104",104,"2",0,1,0,0,0,0,0,0,0,0
"105",105,"5",0,0,0,0,1,0,0,0,0,0
"106",106,"2",0,1,0,0,0,0,0,0,0,0
"107",107,"3",0,0,1,0,0,0,0,0,0,0
"108",108,"4",0,0,0,1,0,0,0,0,0,0
"109",109,"2",0,1,0,0,0,0,0,0,0,0
"110",110,"1",1,0,0,0,0,0,0,0,0,0
"111",111,"6",0,0,0,0,0,1,0,0,0,0
