"","id","tr","Trademarks","Trademarks_0to10","Trademarks_10to100","Trademarks_100+","Trademarks_NA"
"708",708,"1","0to10",1,0,0,0
"709",709,"NA","NA",0,0,0,1
"710",710,"NA","NA",0,0,0,1
"711",711,"NA","NA",0,0,0,1
"712",712,"NA","NA",0,0,0,1
"713",713,"18","10to100",0,1,0,0
"714",714,"6","0to10",1,0,0,0
"715",715,"NA","NA",0,0,0,1
"716",716,"1","0to10",1,0,0,0
"717",717,"1","0to10",1,0,0,0
"718",718,"21","10to100",0,1,0,0
"719",719,"3","0to10",1,0,0,0
"720",720,"NA","NA",0,0,0,1
"721",721,"15","10to100",0,1,0,0
"722",722,"NA","NA",0,0,0,1
"723",723,"NA","NA",0,0,0,1
"724",724,"1","0to10",1,0,0,0
"725",725,"2","0to10",1,0,0,0
"726",726,"3","0to10",1,0,0,0
"727",727,"7","0to10",1,0,0,0
"728",728,"NA","NA",0,0,0,1
"729",729,"NA","NA",0,0,0,1
"730",730,"NA","NA",0,0,0,1
"731",731,"21","10to100",0,1,0,0
"732",732,"NA","NA",0,0,0,1
"733",733,"NA","NA",0,0,0,1
"734",734,"NA","NA",0,0,0,1
"735",735,"46","10to100",0,1,0,0
"736",736,"2","0to10",1,0,0,0
"737",737,"NA","NA",0,0,0,1
"738",738,"7","0to10",1,0,0,0
"739",739,"2","0to10",1,0,0,0
"740",740,"2","0to10",1,0,0,0
"741",741,"NA","NA",0,0,0,1
"742",742,"12","10to100",0,1,0,0
"743",743,"178","100+",0,0,1,0
"744",744,"3","0to10",1,0,0,0
"745",745,"2","0to10",1,0,0,0
"746",746,"1","0to10",1,0,0,0
"747",747,"NA","NA",0,0,0,1
"748",748,"163","100+",0,0,1,0
"749",749,"1","0to10",1,0,0,0
"750",750,"NA","NA",0,0,0,1
"751",751,"NA","NA",0,0,0,1
"752",752,"3","0to10",1,0,0,0
"753",753,"1","0to10",1,0,0,0
"754",754,"7","0to10",1,0,0,0
"755",755,"10","0to10",1,0,0,0
"756",756,"10","0to10",1,0,0,0
"757",757,"0","0to10",1,0,0,0
"758",758,"7","0to10",1,0,0,0
"759",759,"1","0to10",1,0,0,0
"760",760,"NA","NA",0,0,0,1
"761",761,"8","0to10",1,0,0,0
"762",762,"4","0to10",1,0,0,0
"763",763,"NA","NA",0,0,0,1
"764",764,"7","0to10",1,0,0,0
"765",765,"NA","NA",0,0,0,1
"766",766,"1","0to10",1,0,0,0
"767",767,"NA","NA",0,0,0,1
"768",768,"6","0to10",1,0,0,0
"769",769,"NA","NA",0,0,0,1
"770",770,"7","0to10",1,0,0,0
"771",771,"1","0to10",1,0,0,0
"772",772,"NA","NA",0,0,0,1
"773",773,"10","0to10",1,0,0,0
"774",774,"NA","NA",0,0,0,1
"775",775,"5","0to10",1,0,0,0
"776",776,"21","10to100",0,1,0,0
"777",777,"NA","NA",0,0,0,1
"778",778,"14","10to100",0,1,0,0
"779",779,"24","10to100",0,1,0,0
"780",780,"13","10to100",0,1,0,0
"781",781,"1","0to10",1,0,0,0
"782",782,"NA","NA",0,0,0,1
"783",783,"NA","NA",0,0,0,1
"784",784,"1","0to10",1,0,0,0
"785",785,"5","0to10",1,0,0,0
"786",786,"NA","NA",0,0,0,1
"787",787,"2","0to10",1,0,0,0
"788",788,"7","0to10",1,0,0,0
"789",789,"1","0to10",1,0,0,0
"790",790,"2","0to10",1,0,0,0
"791",791,"1","0to10",1,0,0,0
"792",792,"1","0to10",1,0,0,0
"793",793,"NA","NA",0,0,0,1
"794",794,"13","10to100",0,1,0,0
"795",795,"NA","NA",0,0,0,1
"796",796,"1","0to10",1,0,0,0
"797",797,"11","10to100",0,1,0,0
"798",798,"55","10to100",0,1,0,0
"799",799,"1","0to10",1,0,0,0
"800",800,"2","0to10",1,0,0,0
"801",801,"1","0to10",1,0,0,0
"802",802,"NA","NA",0,0,0,1
"803",803,"12","10to100",0,1,0,0
"804",804,"1","0to10",1,0,0,0
"805",805,"NA","NA",0,0,0,1
"806",806,"0","0to10",1,0,0,0
"807",807,"NA","NA",0,0,0,1
"808",808,"NA","NA",0,0,0,1
